company_name,website,hq_location,industry,product_category,funding_round,funding_amount_display,funding_amount,funding_date,lead_investor,other_investors,hiring_signal,careers_page,ceo_name,ceo_linkedin,source_url,has_deep_research,has_email_draft,data_source,notes
Comet - ML Experimentation,,,,,Series C,$60M,60000000,,,,,,,,,False,False,genspark,
Comet,,"New York, NY",,,Series C,$60M,60000000,,,,,,PROFILES:**,,,False,False,genspark,
Fiddler - AI Monitoring,,,,,Series C,$58M,58000000,,,,,,,,,False,False,genspark,
Fiddler,,"Palo Alto, CA",,,Series C,$58M,58000000,,,,,,PROFILES:**,,,False,False,genspark,
K Health - Health AI,,,,,Series C,$50M,50000000,,,,,,,,,False,False,genspark,
Jetson,,"Verify: Jan 20, 2026",,,Series A,$50M,50000000,,,,,,,,,False,True,genspark,
GrubMarket,,,,,Series H,$50M,50000000,,,,,,,,,False,True,genspark,
K Health,,"New York, NY",,,Series C,$50M,50000000,,,,,,PROFILES:**,,,False,False,genspark,
HOLYWATER,,"Verify: Jan 15, 2026",,,Series A,$22M,22000000,,,,,,,,,False,True,genspark,
Chamelio,,"Verify: Jan 27, 2026",,,Seed,$10M,10000000,,,,,,,,,False,True,genspark,
Furl,,"Verify: Jan 21, 2026",,,Seed,$10M,10000000,,,,,,,,,False,True,genspark,
Arbor,,Verify recency,,,Series A,$6M,6300000,,,,,,,,,True,True,genspark,
BizTrip AI,,"Verify: Feb 2, 2026",,,Seed,$2M,1500000,,,,,,,,,False,False,genspark,
200+ conference speaking engagements (ongoing,,,,,,$2K,2025,,,,,,,,,False,False,genspark,
150+ technical publications and research papers\n,,,,,,$85,85,,,,,,,,,False,False,genspark,
"San Francisco, CA (Apr 29",,,,,,$30,30,,,,,,,,,False,False,genspark,
"Fort Lauderdale, FL (Jul 23",,,,,,$29,29,,,,,,,,,False,False,genspark,
"San Francisco, CA (Jun 24",,,,,,$27,27,,,,,,,,,False,False,genspark,
"San Francisco, CA (Jun 23",,,,,,$26,26,,,,,,,,,False,False,genspark,
"San Diego, CA (Dec 14",,,,,,$20,20,,,,,,,,,False,False,genspark,
"Las Vegas, NV (Aug 11",,,,,,$15,15,,,,,,,,,False,False,genspark,
"San Diego, CA (Feb 11",,,,,,$13,13,,,,,,,,,False,False,genspark,
May 4,,,,,,$8,8,,,,,,,,,False,False,genspark,
May 6,,,,,,$7,7,,,,,,,,,False,False,genspark,
"Las Vegas, NV (Dec 1",,,,,,$5,5,,,,,,,,,False,False,genspark,
Extract at minimum 3,,,,,,$5,5,,,,,,contact details.,,,False,False,genspark,
"Speaker Lists & Sponsor Extraction"", ""project_id"": ""f3f63c64",,,,,,$1,1,,,,,,,,,False,False,genspark,
Total companies in CSV: {len(csv_data),,,,,,$1,1,,,,,,,,,False,False,genspark,
